05:12:51  |  Core  |  Info  |  DynLibManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_DynLibManager.cpp  |  44
05:12:51  |  Core  |  Info  |  * Shutdown: LanguageManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  41
05:12:51  |  Core  |  Info  |  LanguageManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_LanguageManager.cpp  |  45
05:12:51  |  Core  |  Info  |  * Shutdown: ResourceManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  47
05:12:51  |  Core  |  Info  |  ResourceManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  57
05:12:51  |  Core  |  Info  |  * Shutdown: FactoryManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  34
05:12:51  |  Core  |  Info  |  FactoryManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  36
05:12:51  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  52
05:12:51  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  57
05:12:51  |  Core  |  Info  |  * Shutdown: WidgetManager  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  91
05:12:51  |  Core  |  Info  |  WidgetManager successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  100
05:12:51  |  Core  |  Info  |  Gui successfully shutdown  |  /build/mygui/src/mygui-MyGUI3.4.1/MyGUIEngine/src/MyGUI_Gui.cpp  |  171
05:12:51  |  Platform  |  Info  |  * Shutdown: RenderManager  |  /build/openmw/src/openmw-openmw-0.47.0/components/myguiplatform/myguirendermanager.cpp  |  368
05:12:51  |  Platform  |  Info  |  RenderManager successfully shutdown  |  /build/openmw/src/openmw-openmw-0.47.0/components/myguiplatform/myguirendermanager.cpp  |  378
